Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C14,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-81.5,-37.5,0,top
C15,47u,CP_Elec_6.3x7.7,-91.1,-33,0,top
C16,47u,CP_Elec_6.3x7.7,-102,44,180,top
C17,47u,CP_Elec_6.3x7.7,-102,28,180,top
C18,47u,CP_Elec_6.3x7.7,-102,12,180,top
C19,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105,-4,0,top
C20,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-105,-20,0,top
C21,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-120,-39,0,top
C22,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-92,-16,0,top
C23,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-92.025,0,0,top
C24,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90,16,0,top
C25,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90,32,0,top
C26,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,-35,0,top
C27,1u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-90,48,0,top
D1,7v5,D_SOD-123F,-101.5,38,180,top
D2,7v5,D_SOD-123F,-101.5,22,180,top
D3,7v5,D_SOD-123F,-101.5,6,180,top
D4,7v5,D_SOD-123F,-102.5,-8,180,top
D5,7v5,D_SOD-123F,-102.5,-24,180,top
D6,7v5,D_SOD-123F,-119.5,-43,180,top
Q1,mmbt3904,SOT-23,-91,45,90,top
Q2,mmbt3904,SOT-23,-91,29,90,top
Q3,mmbt3904,SOT-23,-91,13,90,top
Q4,mmbt3904,SOT-23,-93,-3,90,top
Q5,mmbt3904,SOT-23,-93,-19,90,top
Q6,mmbt3904,SOT-23,-110,-38,90,top
R1,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-85,-31,270,top
R2,4k8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-85,-35,270,top
R12,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,43,270,top
R13,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,27,270,top
R14,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,11,270,top
R15,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,-5,270,top
R18,75,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-109,-21,270,top
R19,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,44,180,top
R20,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,28,180,top
R21,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,12,180,top
R22,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-4,180,top
R23,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-20,180,top
R24,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114,-39,180,top
R25,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,46,0,top
R26,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,42,180,top
R27,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,30,0,top
R28,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,26,180,top
R29,56k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,14,0,top
R30,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-95,10,180,top
R31,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-2,0,top
R32,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-6,180,top
R33,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-18,0,top
R34,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-97,-22,180,top
R35,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114,-37,0,top
R36,33k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-114,-41,180,top
R37,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91,42,180,top
R38,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91,26,180,top
R39,390,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-91,10,180,top
R40,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-93,-6,180,top
R41,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-93,-22,180,top
R42,2k7,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-110,-41,180,top
R43,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87,44,180,top
R44,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87,28,180,top
R45,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-87,12,180,top
R46,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-89,-4,180,top
R47,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-89,-20,180,top
R48,100,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,-106,-39,180,top
U1,AMS1117-5.0,SOT-223-3_TabPin2,-79.5,-32.5,0,top
